run,impl,threads,size,mix,mean_ops_per_sec,std_within_run
1,mvrlu,24,16384,read_heavy,116665,431
1,mvrlu,24,16384,read_snap_short,112226,242
1,mvrlu,24,16384,write_heavy,107385,156
1,mvrlu,24,16384,write_snap_long,105304,21220
1,mvrlu,32,1024,read_heavy,7169101,8223
1,mvrlu,32,1024,read_snap_short,6939556,57286
1,mvrlu,32,1024,write_heavy,5034953,86742
1,mvrlu,32,1024,write_snap_long,5259725,68245
1,mvrlu,32,16384,read_heavy,156664,630
1,mvrlu,32,16384,read_snap_short,149595,375
1,mvrlu,32,16384,write_heavy,143657,174
1,mvrlu,32,16384,write_snap_long,124181,235
1,mvrlu,48,1024,read_heavy,9727435,42045
1,mvrlu,48,1024,read_snap_short,10204144,59244
1,mvrlu,48,1024,write_heavy,7367508,141836
1,mvrlu,48,1024,write_snap_long,7472631,47050
1,mvrlu,48,16384,read_heavy,231915,564
1,mvrlu,48,16384,read_snap_short,221011,592
1,mvrlu,48,16384,write_heavy,224203,14285
1,mvrlu,48,16384,write_snap_long,185518,614
1,mvrlu,64,1024,read_heavy,12099154,130522
1,mvrlu,64,1024,read_snap_short,11698332,203369
1,mvrlu,64,1024,write_heavy,7450378,218863
1,mvrlu,64,1024,write_snap_long,7796043,68241
1,mvrlu,64,16384,read_heavy,300848,1965
1,mvrlu,64,16384,read_snap_short,298365,6335
1,mvrlu,64,16384,write_heavy,286688,1219
1,mvrlu,64,16384,write_snap_long,243673,3907
1,vcas,1,1024,read_heavy,256639,30
1,vcas,1,1024,read_snap_short,247839,197
1,vcas,1,1024,write_heavy,232106,67
1,vcas,2,1024,read_heavy,510233,245
1,vcas,2,1024,read_snap_short,475616,741
1,vcas,2,1024,write_heavy,420537,128
1,vcas,4,1024,read_heavy,1007910,9031
1,vcas,4,1024,read_snap_short,949661,738
1,vcas,4,1024,write_heavy,818792,2225
1,vcas,8,1024,read_heavy,1960826,25689
1,vcas,8,1024,read_snap_short,1830834,9912
1,vcas,8,1024,write_heavy,1470927,7470
1,vcas,16,1024,read_heavy,3863222,16740
1,vcas,16,1024,read_snap_short,3516607,19602
1,vcas,16,1024,write_heavy,2711774,30854
1,vcas,24,1024,read_heavy,5695087,33267
1,vcas,24,1024,read_snap_short,5161772,29497
1,vcas,24,1024,write_heavy,3810540,30855
1,vcas,32,1024,read_heavy,7394751,88994
1,vcas,32,1024,write_heavy,4849431,57670
1,vcas,48,1024,read_heavy,9870993,13103
1,vcas,48,1024,write_heavy,6918155,50410
1,vcas,64,1024,read_heavy,12290154,87983
1,vcas,64,1024,write_heavy,7393876,81207
2,coarse,1,1024,read_heavy,987364,13662
2,coarse,1,1024,read_snap_short,974260,2853
2,coarse,1,1024,write_heavy,988510,9419
2,coarse,1,1024,write_snap_long,878368,1961
2,coarse,1,16384,read_heavy,28135,31
2,coarse,1,16384,read_snap_short,27915,28
2,coarse,1,16384,write_heavy,27889,7
2,coarse,1,16384,write_snap_long,25405,23
2,coarse,2,1024,read_heavy,406155,3427
2,coarse,2,1024,read_snap_short,416682,6431
2,coarse,2,1024,write_heavy,481402,3047
2,coarse,2,1024,write_snap_long,422845,2134
